label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;Tamb;Tamb_set;Tamb_var;kA_char;kA_char_set;kA_char_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;hydro_group;kA_group
BHE1;heat_exchanger_simple;[];[];[];[];[];[];nan;False;False;-1055.9999999999995;False;False;0.9999999999998377;False;False;0.0012349747897545612;False;False;2;True;False;0.1;True;False;1e-05;True;False;1;False;False;1;False;False;0x0000028B7401D9E8;False;m;-3.4761856921513736;False;nan;False;nan;False;default;default
consumer;heat_exchanger_simple;['consumer heat demand'];['P'];[1055.9999999999993];['0x0000028B73FE9A90'];[];[];nan;False;False;1055.9999999999993;False;False;0.9999999999998375;False;False;0.0012358684039294925;False;False;2;True;False;0.1;True;False;1e-05;True;False;1;False;False;1;False;False;0x0000028B7401D9B0;False;m;3.476185692151373;False;nan;False;nan;False;default;default
